Element,Atomic_number,Mass,Mass_Norm,Atom,Campione
Carbon,6,"0.00","0.00","0.00",1
Aluminium,13,"0.00","0.00","0.00",1
Silicon,14,"0.42","0.44","0.87",1
Chromium,24,"23.98","25.00","26.76",1
Iron,26,"59.09","61.60","61.39",1
Nikel,28,"9.05","8.95","8.95",1
Molybdenum,42,"3.38","2.04","2.04",1
Carbon,6,0,"0.00","0.00",2
Aluminium,13,0,"0.00","0.00",2
Silicon,14,"0.42","0.44","0.87",2
Chromium,24,"24.08","25.07","26.80",2
Iron,26,"59.64","62.07","61.80",2
Nikel,28,"8.71","9.07","8.59",2
Molybdenum,42,"3.22","3.35","1.94",2
Carbon,6,"0.00","0.00","0.00",3
Aluminium,13,"0.00","0.00","0.00",3
Silicon,14,"0.38","0.40","0.79",3
Chromium,24,"23.72","24.91","26.64",3
Iron,26,"59.19","61.16","61.88",3
Nikel,28,"8.90","9.35","8.85",3
Molybdenum,42,"3.02","3.18","1.84",3